=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 59ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [1bb104a5]: inbound TCP, 500 ports
    
  Scan [1bb104a5] — inbound:

  Baseline (no IP options):
    TCP/1      closed
    TCP/7      closed
    TCP/9      closed
    TCP/13     closed
    TCP/17     closed
    TCP/19     closed
    TCP/21     closed
    TCP/22     filtered
    TCP/23     closed
    TCP/25     filtered
    TCP/26     closed
    TCP/37     closed
    TCP/38     closed
    TCP/42     closed
    TCP/49     closed
    TCP/53     closed
    TCP/67     closed
    TCP/68     closed
    TCP/69     closed
    TCP/79     closed
    TCP/80     filtered
    TCP/81     closed
    TCP/82     closed
    TCP/88     closed
    TCP/100    closed
    TCP/106    closed
    TCP/110    closed
    TCP/111    closed
    TCP/112    closed
    TCP/113    closed
    TCP/119    closed
    TCP/120    closed
    TCP/123    closed
    TCP/135    closed
    TCP/136    closed
    TCP/137    closed
    TCP/138    closed
    TCP/139    closed
    TCP/143    closed
    TCP/144    closed
    TCP/158    closed
    TCP/161    closed
    TCP/162    closed
    TCP/177    closed
    TCP/179    filtered
    TCP/192    closed
    TCP/199    closed
    TCP/217    closed
    TCP/255    closed
    TCP/363    closed
    TCP/389    closed
    TCP/407    closed
    TCP/427    closed
    TCP/434    closed
    TCP/443    filtered
    TCP/444    closed
    TCP/445    closed
    TCP/464    closed
    TCP/465    closed
    TCP/497    closed
    TCP/500    closed
    TCP/512    closed
    TCP/513    closed
    TCP/514    closed
    TCP/515    closed
    TCP/517    closed
    TCP/518    closed
    TCP/520    closed
    TCP/539    closed
    TCP/543    closed
    TCP/544    closed
    TCP/548    closed
    TCP/554    closed
    TCP/587    closed
    TCP/593    closed
    TCP/623    closed
    TCP/626    closed
    TCP/631    closed
    TCP/636    closed
    TCP/643    closed
    TCP/646    closed
    TCP/664    closed
    TCP/682    closed
    TCP/683    closed
    TCP/684    closed
    TCP/685    closed
    TCP/686    closed
    TCP/687    closed
    TCP/688    closed
    TCP/767    closed
    TCP/775    closed
    TCP/776    closed
    TCP/780    closed
    TCP/781    closed
    TCP/782    closed
    TCP/786    closed
    TCP/800    closed
    TCP/808    closed
    TCP/829    closed
    TCP/873    closed
    TCP/902    closed
    TCP/959    closed
    TCP/983    closed
    TCP/989    closed
    TCP/990    closed
    TCP/993    closed
    TCP/995    closed
    TCP/996    closed
    TCP/997    closed
    TCP/998    closed
    TCP/999    closed
    TCP/1000   closed
    TCP/1001   closed
    TCP/1008   closed
    TCP/1012   closed
    TCP/1014   closed
    TCP/1019   closed
    TCP/1021   closed
    TCP/1022   closed
    TCP/1023   closed
