Warning: Delays under 1 second may cause unreliable results with UDP scans, defaulting to 1s.
=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : UDP
Ports     : 500 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 1.0s
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 62ms — timeout set to 0.50s
[Client] Scan request [302e118f]: inbound UDP, 500 ports

  Scan [302e118f] — inbound:
    UDP/1      open|filtered
    UDP/7      open|filtered
    UDP/9      open|filtered
    UDP/13     open|filtered
    UDP/17     open|filtered
    UDP/19     open|filtered
    UDP/21     open|filtered
    UDP/22     open|filtered
    UDP/23     open|filtered
    UDP/25     open|filtered
    UDP/26     open|filtered
    UDP/37     open|filtered
    UDP/38     open|filtered
    UDP/42     open|filtered
    UDP/49     open|filtered
    UDP/53     open|filtered
    UDP/67     open|filtered
    UDP/68     open|filtered
    UDP/69     open|filtered
    UDP/79     open|filtered
    UDP/80     open|filtered
    UDP/81     open|filtered
    UDP/82     open|filtered
    UDP/88     open|filtered
    UDP/100    open|filtered
    UDP/106    open|filtered
    UDP/110    open|filtered
    UDP/111    open|filtered
    UDP/112    open|filtered
    UDP/113    open|filtered
    UDP/119    open|filtered
    UDP/120    open|filtered
    UDP/123    open|filtered
    UDP/135    open|filtered
    UDP/136    open|filtered
    UDP/137    open|filtered
    UDP/138    open|filtered
    UDP/139    open|filtered
    UDP/143    open|filtered
    UDP/144    open|filtered
    UDP/158    open|filtered
    UDP/161    open|filtered
    UDP/162    open|filtered
    UDP/177    open|filtered
    UDP/179    open|filtered
    UDP/192    open|filtered
    UDP/199    open|filtered
    UDP/217    open|filtered
    UDP/255    open|filtered
    UDP/363    open|filtered
    UDP/389    open|filtered
    UDP/407    open|filtered
    UDP/427    open|filtered
    UDP/434    open|filtered
    UDP/443    open|filtered
    UDP/444    open|filtered
    UDP/445    open|filtered
    UDP/464    open|filtered
    UDP/465    open|filtered
    UDP/497    open|filtered
    UDP/500    open|filtered
    UDP/512    open|filtered
    UDP/513    open|filtered
    UDP/514    open|filtered
    UDP/515    open|filtered
    UDP/517    open|filtered
    UDP/518    open|filtered
    UDP/520    open|filtered
    UDP/539    open|filtered
    UDP/543    open|filtered
    UDP/544    open|filtered
    UDP/548    open|filtered
    UDP/554    open|filtered
    UDP/587    open|filtered
    UDP/593    open|filtered
    UDP/623    open|filtered
    UDP/626    open|filtered
    UDP/631    open|filtered
    UDP/636    open|filtered
    UDP/643    open|filtered
    UDP/646    open|filtered
    UDP/664    open|filtered
    UDP/682    open|filtered
    UDP/683    open|filtered
    UDP/684    open|filtered
    UDP/685    open|filtered
    UDP/686    open|filtered
    UDP/687    open|filtered
    UDP/688    open|filtered
    UDP/767    open|filtered
    UDP/775    open|filtered
    UDP/776    open|filtered
    UDP/780    open|filtered
    UDP/781    open|filtered
    UDP/782    open|filtered
    UDP/786    open|filtered
    UDP/800    open|filtered
    UDP/808    open|filtered
    UDP/829    open|filtered
