=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : TCP
Ports     : 200 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 0.1s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 164ms — timeout set to 0.65s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [3b187b16]: inbound TCP, 200 ports

  Scan [3b187b16] — inbound:

  Baseline (no IP options):
    TCP/7      filtered
    TCP/9      filtered
    TCP/13     filtered
    TCP/17     filtered
    TCP/19     filtered
    TCP/21     filtered
    TCP/22     filtered
    TCP/23     filtered
    TCP/25     filtered
    TCP/26     filtered
    TCP/37     filtered
    TCP/42     filtered
    TCP/49     filtered
    TCP/53     filtered
    TCP/67     filtered
    TCP/68     filtered
    TCP/69     filtered
    TCP/79     filtered
    TCP/80     filtered
    TCP/81     filtered
    TCP/88     filtered
    TCP/106    filtered
    TCP/110    filtered
    TCP/111    filtered
    TCP/113    filtered
    TCP/120    filtered
    TCP/123    filtered
    TCP/135    filtered
    TCP/136    filtered
    TCP/137    filtered
    TCP/138    filtered
    TCP/139    filtered
    TCP/143    filtered
    TCP/144    filtered
    TCP/158    filtered
    TCP/161    filtered
    TCP/162    filtered
    TCP/177    filtered
    TCP/179    filtered
    TCP/199    filtered
    TCP/389    filtered
    TCP/407    filtered
    TCP/427    filtered
    TCP/443    filtered
    TCP/445    filtered
    TCP/465    filtered
    TCP/497    filtered
    TCP/500    filtered
    TCP/513    filtered
    TCP/514    filtered
    TCP/515    filtered
    TCP/517    filtered
    TCP/518    filtered
    TCP/520    filtered
    TCP/543    filtered
    TCP/544    filtered
    TCP/548    filtered
    TCP/554    filtered
    TCP/587    filtered
    TCP/593    filtered
    TCP/623    filtered
    TCP/626    filtered
    TCP/631    filtered
    TCP/646    filtered
    TCP/989    filtered
    TCP/990    filtered
    TCP/993    filtered
    TCP/995    filtered
    TCP/996    filtered
    TCP/997    filtered
    TCP/998    filtered
    TCP/999    filtered
    TCP/1001   filtered
    TCP/1022   filtered
    TCP/1023   filtered
    TCP/1025   filtered
    TCP/1026   filtered
    TCP/1027   filtered
    TCP/1028   filtered
    TCP/1029   filtered
    TCP/1030   filtered
    TCP/1031   filtered
    TCP/1032   filtered
    TCP/1034   filtered
    TCP/1041   filtered
    TCP/1045   filtered
    TCP/1068   filtered
    TCP/1110   filtered
    TCP/1433   filtered
    TCP/1434   filtered
    TCP/1645   filtered
    TCP/1646   filtered
    TCP/1701   filtered
    TCP/1718   filtered
    TCP/1719   filtered
    TCP/1720   filtered
    TCP/1723   filtered
    TCP/1782   filtered
    TCP/1812   filtered
    TCP/1813   filtered
    TCP/1900   filtered
    TCP/2000   filtered
    TCP/2001   filtered
    TCP/2048   filtered
    TCP/2049   filtered
    TCP/2121   filtered
    TCP/2148   filtered
