Warning: Delays under 1 second may cause unreliable results with UDP scans, defaulting to 1s.
=== Scan Config  ===
Host      : 34.41.254.80:9000
Protocol  : UDP
Ports     : 200 ports
Timeout   : auto (Max[4RTT | 0.5s])
Delay     : 1.0s
IP option : all
IPv6 Test : Enabled
===================
[Client] Connected to 34.41.254.80:9000
[Client] Server version: 0.1, IPv6: 2600:1900:4000:1746::
[Client] Handshake complete.
[Client] RTT 107ms — timeout set to 0.50s
[Client] IPv6 test: skipped — no public IPv6 on this machine.
[Client] Scan request [6d68e239]: inbound UDP, 200 ports

  Scan [6d68e239] — inbound:

  Baseline (no IP options):
    UDP/7      open|filtered
    UDP/9      open|filtered
    UDP/13     open|filtered
    UDP/17     open|filtered
    UDP/19     open|filtered
    UDP/21     open|filtered
    UDP/22     open|filtered
    UDP/23     open|filtered
    UDP/25     open|filtered
    UDP/26     open|filtered
    UDP/37     open|filtered
    UDP/42     open|filtered
    UDP/49     open|filtered
    UDP/53     open|filtered
    UDP/67     open|filtered
    UDP/68     open|filtered
    UDP/69     open|filtered
    UDP/79     open|filtered
    UDP/80     open|filtered
    UDP/81     open|filtered
    UDP/88     open|filtered
    UDP/106    open|filtered
    UDP/110    open|filtered
    UDP/111    open|filtered
    UDP/113    open|filtered
    UDP/120    open|filtered
    UDP/123    open|filtered
    UDP/135    open|filtered
    UDP/136    open|filtered
    UDP/137    open|filtered
    UDP/138    open|filtered
    UDP/139    open|filtered
    UDP/143    open|filtered
    UDP/144    open|filtered
    UDP/158    open|filtered
    UDP/161    open|filtered
    UDP/162    open|filtered
    UDP/177    open|filtered
    UDP/179    open|filtered
    UDP/199    open|filtered
    UDP/389    open|filtered
    UDP/407    open|filtered
    UDP/427    open|filtered
    UDP/443    open|filtered
    UDP/445    open|filtered
    UDP/465    open|filtered
    UDP/497    open|filtered
    UDP/500    open|filtered
    UDP/513    open|filtered
    UDP/514    open|filtered
    UDP/515    open|filtered
    UDP/517    open|filtered
    UDP/518    open|filtered
    UDP/520    open|filtered
    UDP/543    open|filtered
    UDP/544    open|filtered
    UDP/548    open|filtered
    UDP/554    open|filtered
    UDP/587    open|filtered
    UDP/593    open|filtered
    UDP/623    open|filtered
    UDP/626    open|filtered
    UDP/631    open|filtered
    UDP/646    open|filtered
    UDP/989    open|filtered
    UDP/990    open|filtered
    UDP/993    open|filtered
    UDP/995    open|filtered
    UDP/996    open|filtered
    UDP/997    open|filtered
    UDP/998    open|filtered
    UDP/999    open|filtered
    UDP/1001   open|filtered
    UDP/1022   open|filtered
    UDP/1023   open|filtered
    UDP/1025   open|filtered
    UDP/1026   open|filtered
    UDP/1027   open|filtered
    UDP/1028   open|filtered
    UDP/1029   open|filtered
    UDP/1030   open|filtered
    UDP/1031   open|filtered
    UDP/1032   open|filtered
    UDP/1034   open|filtered
    UDP/1041   open|filtered
    UDP/1045   open|filtered
    UDP/1068   open|filtered
    UDP/1110   open|filtered
    UDP/1433   open|filtered
    UDP/1434   open|filtered
    UDP/1645   open|filtered
    UDP/1646   open|filtered
    UDP/1701   open|filtered
